p_id,torwatch,torwarn,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,gend,age,hisp,race,nws_region,WARNING_AVG,weightfactor
EPO785KQKWCYLDJ4M2,1,NA,4,NA,4,3,4,4,4,4,4,4,4,4,2,3,3,3,3,4,4,4,3,NA,3,NA,4,4,3,4,4,4,4,4,4,4,4,4,0,67,0,2,Southern Region,31,0.424896
EPO785NVNV85RFX4M0,2,NA,1,1,5,NA,NA,NA,NA,NA,NA,4,4,4,5,2,2,2,2,4,4,4,2,NA,2,1,1,1,4,3,4,4,4,4,4,5,4,4,0,67,0,2,Southern Region,31,0.424896
EPO785YZDRD8LHG4M7,NA,2,4,4,4,4,3,3,3,3,4,4,5,5,5,4,4,4,4,4,5,5,1,30,2,2,3,3,4,4,3,3,3,3,4,5,5,5,0,64,0,2,Southern Region,24.833333333333332,0.68441
EPO78795T6C4V4F4M0,NA,2,4,4,4,2,3,3,4,3,3,3,5,4,5,3,3,4,4,5,5,5,1,60,2,2,1,2,5,3,5,3,5,5,5,3,5,3,0,24,0,1,Central Region,6.166666666666667,0.532774
EPO787PDP9WMCLY4M8,NA,2,3,4,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,3,1,30,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,58,0,2,Central Region,15.833333333333334,0.543668
EPO787S889KP3XT4M2,NA,2,2,4,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,10,1,NA,1,1,2,2,2,2,2,2,2,2,2,2,0,45,0,2,Eastern Region,33.833333333333336,0.714877
EPO787WGBKXNKW44M2,NA,1,4,4,4,2,5,4,4,3,4,3,4,3,5,2,3,3,3,3,4,3,2,NA,1,NA,3,3,4,2,5,5,3,4,4,3,3,3,1,47,1,3,Western Region,0.3333333333333333,0.274427
EPO7888S68Z3M2Z4M9,NA,2,4,4,4,1,1,1,1,1,1,1,1,1,5,3,2,2,3,1,1,1,4,NA,4,NA,3,1,3,1,1,1,1,1,1,1,1,1,0,23,0,2,Southern Region,78.33333333333333,0.822177
EPO788V4QZP58M34M2,1,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,5,3,3,3,3,4,NA,NA,2,NA,3,NA,3,3,4,3,3,4,4,3,3,4,NA,NA,0,73,0,2,Western Region,0,0.100101
EPO7894GZD2PLM54M0,NA,2,4,4,3,1,3,2,3,3,3,4,4,4,4,1,3,3,3,3,3,3,2,NA,2,4,3,3,2,1,2,3,3,3,3,4,4,4,1,48,0,2,Eastern Region,8,1.849093
