survey_year,age,survey_hazard,"Broadcast
radio","Weather
radio",Television,"Internet
websites","Social
media","Friends,
family","Phone
notifications",Sirens,weightfactor
2017,67,WX,3,3,2,3,3,3,2,3,0.675907
2017,49,WX,3,4,3,2,4,3,3,1,0.757974
2017,73,WX,2,3,3,2,1,1,2,3,1.080394
2017,65,WX,3,3,3,3,3,4,3,3,0.258079
2017,55,WX,1,1,5,2,1,1,1,1,0.51039
2017,54,WX,3,3,4,3,2,3,3,4,0.981726
2017,68,WX,1,1,3,1,1,1,1,1,0.675907
2017,41,WX,5,1,5,2,2,2,4,2,2.254608
2017,35,WX,4,4,4,4,2,2,3,5,2.592103
2017,43,WX,1,1,1,5,4,1,4,4,1.402759
2017,55,WX,4,4,3,3,1,3,3,3,0.684897
2017,74,WX,4,5,4,3,1,3,4,5,0.415552
2017,39,WX,2,1,4,5,4,1,4,2,0.888941
2017,35,WX,5,4,5,4,5,4,5,4,1.07123
2017,63,WX,3,2,3,4,1,2,4,2,0.08186
2017,58,WX,3,4,4,2,1,2,2,3,1.415151
2017,63,WX,3,3,3,3,3,3,3,4,0.577138
2017,53,WX,4,3,3,1,1,1,1,4,0.981726
2017,56,WX,4,4,4,2,2,2,4,4,0.595297
2017,51,WX,3,1,3,2,3,1,1,1,0.24296
2017,37,WX,4,4,4,3,2,2,3,4,0.211422
2017,55,WX,5,5,5,3,2,3,5,5,0.683553
2017,50,WX,3,1,5,3,3,3,3,2,0.209226
2017,35,WX,2,3,3,4,1,1,3,3,1.07123
2017,43,WX,5,5,5,5,5,5,5,1,1.140966
2017,56,WX,5,5,5,3,1,4,4,5,0.675407
2017,82,WX,3,3,3,2,1,1,1,4,1.071317
2017,33,WX,3,1,4,4,3,2,5,3,0.700963
2017,58,WX,1,1,4,4,1,2,1,3,1.415151
2017,69,WX,4,4,4,4,3,3,4,4,0.976731
2017,59,WX,4,1,2,1,1,4,1,1,0.51039
2017,61,WX,2,5,5,5,3,4,5,5,0.912746
2017,58,WX,3,2,4,4,1,2,3,1,0.901934
2017,54,WX,3,1,5,3,1,3,4,5,1.494878
2017,62,WX,5,5,5,5,5,5,4,5,0.729109
2017,59,WX,3,4,2,4,3,3,5,2,0.683553
2017,62,WX,3,3,3,3,3,3,3,4,0.699624
2017,71,WX,5,5,5,5,1,4,3,4,0.415552
2017,69,WX,1,1,4,4,1,3,5,5,0.121153
2017,45,WX,1,3,3,2,2,3,3,2,0.789356
2017,41,WX,4,5,5,5,5,5,5,5,0.457041
2017,30,WX,4,4,4,4,3,3,4,5,0.475192
2017,32,WX,4,4,4,3,1,3,4,4,0.898161
2017,65,WX,5,5,5,4,3,3,4,3,0.675907
2017,45,WX,3,2,2,4,1,1,2,3,0.757974
2017,63,WX,4,4,4,2,1,3,5,5,0.469522
2017,72,WX,4,5,5,3,4,2,4,5,0.990271
2017,39,WX,4,4,4,4,1,3,1,5,0.634947
2017,59,WX,1,1,5,2,1,1,1,1,0.51039
2017,76,WX,4,3,4,2,1,2,1,3,0.683509
2017,66,WX,4,5,1,5,1,3,5,1,0.885167
2017,21,WX,3,4,4,4,3,4,4,5,0.398559
2017,63,WX,3,3,3,3,2,2,3,3,0.880582
2017,56,WX,3,4,5,4,2,3,4,5,0.684897
2017,57,WX,1,1,3,2,3,1,1,1,0.70539
2017,69,WX,4,4,4,2,2,3,3,4,0.976731
2017,39,WX,1,1,4,4,4,2,1,3,1.032992
2017,62,WX,2,5,3,2,1,2,3,4,0.880582
2017,72,WX,4,5,5,4,1,2,3,1,1.294332
2017,36,WX,2,1,2,3,1,2,5,1,0.617357
2017,65,WX,4,5,4,4,2,3,3,5,0.413876
2017,75,WX,3,4,3,3,1,1,4,5,0.501118
2017,64,WX,4,5,4,3,2,3,4,5,0.683384
2017,54,WX,1,2,5,2,1,3,1,3,0.052169
2017,21,WX,4,3,2,3,3,3,2,4,1.004292
2017,55,WX,5,1,5,4,4,4,5,5,0.763112
2017,67,WX,3,4,5,4,3,4,3,3,0.773702
2017,56,WX,4,5,4,2,3,2,4,4,0.675407
2017,59,WX,3,4,5,1,1,4,5,5,0.547932
2017,61,WX,1,1,5,1,1,3,1,2,0.880582
2017,71,WX,2,1,4,1,1,2,5,3,0.990271
2017,37,WX,4,3,4,4,4,4,4,4,0.895113
2017,64,WX,4,4,4,2,1,4,3,1,2.266433
2017,75,WX,1,1,1,1,1,1,1,3,1.531639
2017,72,WX,4,1,5,4,2,1,5,5,0.415552
2017,61,WX,4,2,4,1,1,2,5,1,0.891744
2017,61,WX,5,5,5,5,2,2,5,5,0.699624
2017,75,WX,1,1,5,3,1,2,5,5,1.529702
2017,54,WX,1,1,5,1,1,2,1,2,0.875961
2017,18,WX,3,2,4,4,4,3,4,5,0.093678
2017,37,WX,3,4,3,2,2,3,3,3,0.086348
2017,70,WX,3,4,4,2,2,2,2,4,2.100196
2017,67,WX,3,4,4,3,1,3,4,4,0.943265
2017,71,WX,4,5,4,3,1,1,3,5,1.080394
2017,36,WX,5,5,5,5,3,3,4,5,1.032992
2017,40,WX,4,4,4,3,2,4,4,4,0.774187
2017,38,WX,2,2,2,5,1,2,1,1,0.634947
2017,68,WX,3,2,3,4,1,1,4,3,0.533843
2017,65,WX,3,2,2,3,1,2,3,3,0.65467
2017,51,WX,1,1,4,2,4,3,5,1,0.981726
2017,39,WX,1,1,5,5,3,3,5,5,1.032992
2017,18,WX,3,5,5,3,3,2,5,1,0.304476
2017,65,WX,1,3,1,3,1,4,2,3,0.65467
2017,44,WX,3,5,5,5,2,1,5,5,1.140966
2017,72,WX,1,3,3,4,1,2,2,1,0.415552
2017,27,WX,5,5,5,5,3,3,5,5,1.31719
2017,35,WX,2,3,3,3,1,1,1,4,0.888941
2017,32,WX,5,4,5,4,3,5,3,3,1.101032
2017,30,WX,1,3,4,1,1,1,3,4,0.798854
2017,66,WX,3,2,4,2,1,2,4,5,0.413876
2017,75,WX,1,1,3,1,1,2,3,1,0.501118
2017,55,WX,3,4,3,3,2,4,2,4,0.684897
2017,29,WX,5,5,5,5,5,5,5,5,0.817842
2017,58,WX,5,1,5,1,1,2,5,2,0.901934
2017,48,WX,3,2,5,4,4,3,5,1,0.946634
2017,52,WX,3,3,2,3,1,1,3,3,0.843252
2017,29,WX,1,3,4,5,1,4,3,3,1.371012
2017,54,WX,2,3,3,3,1,3,4,3,1.014784
2017,67,WX,3,3,5,3,2,3,3,1,0.500491
2017,59,WX,5,5,5,3,3,4,2,5,0.675407
2017,73,WX,2,1,3,4,1,2,3,4,0.706575
2017,68,WX,4,2,4,3,1,1,3,2,0.675907
2017,45,WX,2,2,3,2,2,2,2,2,1.698404
2017,55,WX,5,3,1,1,1,2,3,1,0.683553
