p_id,long,lat,end_datetime,age,gender,education,race,income,storm_system,storm_rec_warn,rec_subscribe,wthr_info_web,wthr_info_govweb,wthr_info_loctv,wthr_info_cabtv,wthr_info_radio,wthr_info_fam,wthr_info_soc,wthr_info_phone
Ph-W219406,-96.617102,35.195404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W219409,-96.564303,35.0142,1465407368,66,0,6,1,5.50E+04,1,0,Agree,Less than once per week,Less than once per week,Several times per week,About once per week,Less than once per week,NA,About once per week,Never
Ph-W219444,-94.436032,35.320224,1467339766,45,0,5,1,3.00E+04,1,NA,Disagree,Several times a day,Never,About once a day,About once a day,Never,About once per week,About once per week,About once a day
Ph-W219570,-94.51842,34.85716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W219589,-94.618112,34.971166,1466018118,79,1,5,1,5.00E+04,1,1,Disagree,Less than once per week,About once per week,Several times a day,About once per week,Less than once per week,Less than once per week,Never,About once per week
Ph-W219723,-94.646894,35.088272,1466113464,66,1,7,1,1.20E+05,1,NA,Strongly disagree,Never,Never,About once a day,About once per week,Never,About once per week,Never,Less than once per week
Ph-W219912,-94.63691,35.82643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W300025,-97.047162,34.114518,1466535615,35,0,4,1,NA,2,NA,Strongly disagree,Less than once per week,Never,About once a day,Several times per week,Several times per week,Several times per week,Never,Less than once per week
Ph-W300058,-94.635055,33.985992,1466121677,70,0,2,3,2.50E+04,1,0,Disagree,Less than once per week,Never,About once a day,About once a day,Never,Less than once per week,Never,NA
Ph-W300141,-98.330919,34.606603,1467209741,63,0,7,2,9.50E+04,1,1,Agree,Several times a day,Less than once per week,Several times a day,Several times a day,Never,Several times per week,Never,Several times per week
Ph-W300149,-98.679587,34.227333,1466184359,55,1,6,1,1.00E+05,1,1,Agree,About once per week,Less than once per week,About once per week,About once per week,About once per week,Several times per week,Less than once per week,Several times per week
Ph-W300150,-98.310171,34.792398,1465914855,51,0,2,1,8.10E+04,1,NA,Agree,Never,Never,About once a day,Less than once per week,Several times per week,Several times per week,Several times a day,Never
Ph-W300329,-97.133813,34.157918,1465851493,61,1,4,1,7.00E+04,2,1,Strongly agree,Several times per week,Several times a day,About once a day,About once a day,Never,About once a day,Several times a day,Several times a day
Ph-W300468,-96.214333,34.530437,1467744025,66,1,5,1,9.00E+04,2,1,Agree,Less than once per week,Less than once per week,About once a day,About once a day,Several times per week,Less than once per week,Less than once per week,About once a day
Ph-W300482,-94.882033,36.880595,1467821172,49,0,5,1,4.00E+04,2,NA,Strongly agree,Less than once per week,Less than once per week,About once a day,Several times per week,Several times a day,Several times a day,Several times a day,About once a day
Ph-W300499,-94.973669,35.147113,1466543786,65,0,1,1,NA,1,0,Strongly agree,Never,Never,About once per week,Several times per week,Never,Several times per week,Never,Never
Ph-W300528,-99.436892,35.408068,1466392183,76,0,5,1,53534,1,NA,Disagree,Less than once per week,Never,Several times a day,Never,Never,Less than once per week,Several times per week,Never
Ph-W300546,-97.063692,34.317853,1465410916,32,0,6,1,5.20E+04,2,1,Strongly agree,Less than once per week,About once per week,Several times per week,Less than once per week,Less than once per week,About once per week,Several times per week,Less than once per week
Ph-W300560,-99.102419,35.033251,1467000319,61,0,7,1,9.90E+04,1,NA,Neither agree nor disagree,About once a day,About once a day,Several times a day,Several times a day,About once per week,About once a day,About once a day,Never
Ph-W300563,-99.503498,34.88988,1465415150,64,1,4,1,7.00E+04,1,NA,Neither agree nor disagree,About once a day,Never,Several times a day,Several times per week,Several times per week,About once per week,Never,Never
Ph-W300577,-95.940287,36.170041,1466802394,60,1,6,1,NA,1,NA,Disagree,Never,Never,Several times a day,Several times a day,Several times a day,Several times per week,Never,Never
Ph-W300745,-96.68665,34.78431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W300765,-96.777327,34.095837,1466293150,28,0,4,7,3.20E+04,1,1,Agree,Several times a day,Never,Several times a day,Several times a day,Several times per week,Several times a day,Never,Several times a day
Ph-W300774,-95.83815,36.27285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W300780,-95.66589,36.13704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W300915,-96.677101,35.237638,1467900378,56,0,7,1,5.60E+04,1,NA,Agree,Several times a day,Never,About once a day,Less than once per week,About once per week,About once a day,Less than once per week,Less than once per week
Ph-W300941,-98.979818,35.482211,1465944892,74,0,6,1,NA,1,1,Strongly disagree,NA,Less than once per week,Several times a day,About once a day,About once per week,NA,Never,NA
Ph-W300944,-98.46576,34.628906,1467154197,64,1,6,1,100161,1,2,Agree,Less than once per week,About once a day,About once a day,Never,Never,Never,Never,Never
Ph-W300978,-96.04918,36.753172,1467158276,68,1,5,3,3.00E+04,2,1,Somewhat agree,Several times per week,Never,Several times a day,About once per week,Several times a day,Several times a day,Several times a day,About once per week
Ph-W301040,-97.093929,33.837907,1467389479,57,0,2,1,9.70E+04,2,1,Agree,Less than once per week,Less than once per week,Several times a day,About once per week,Less than once per week,Less than once per week,Never,Several times per week
Ph-W301057,-98.387229,34.824841,1467070898,67,0,6,1,6.40E+04,1,1,Strongly agree,Never,Never,Several times a day,Never,Less than once per week,Several times a day,Several times per week,About once a day
Ph-W301069,-98.691406,35.530201,1466128373,61,0,6,1,1.25E+05,1,NA,Somewhat agree,Never,Never,About once a day,Never,Never,Several times per week,Several times per week,About once per week
Ph-W301082,-95.934256,36.71937,1466010830,68,0,4,1,5.00E+04,2,NA,Strongly disagree,Less than once per week,Never,About once a day,Never,Less than once per week,Less than once per week,Less than once per week,Never
Ph-W301097,-96.39785,36.41022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W301270,-98.69258,35.53848,1466998325,33,0,6,1,7.80E+04,1,NA,Strongly agree,Several times a day,Several times per week,Less than once per week,Never,About once a day,About once a day,Several times a day,Several times a day
Ph-W301271,-96.604799,34.063458,1466195626,75,0,4,1,2.50E+04,1,NA,Strongly agree,Never,Never,Several times a day,Several times a day,Several times a day,About once a day,Never,Never
