CWA,MALE,AGE_GROUP,HISP,RACE_GROUP,DEMGRP_POP,TOT_POP,DEMGRP_PROP,CWA_REGION,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
TFX,0,2,1,2,25,298564,8.373414075374124e-5,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,2,1,3,262,298564,8.775337950992083e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,3,0,1,41294,298564,0.13830870433139963,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,3,0,2,68,298564,2.2775686285017618e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,3,0,3,2466,298564,0.008259535643949037,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,3,1,1,457,298564,0.0015306600929783898,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,3,1,2,8,298564,2.6794925041197197e-5,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,0,3,1,3,66,298564,2.2105813158987688e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,1,0,1,44462,298564,0.14891949464771373,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,1,0,2,753,298564,0.0025220723195026862,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
