age,gend,hisp,race,nws_region,spc_rand,spc_risk_perc,spc_resp_perc,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom
39,1,0,1,Eastern Region,AN ENHANCED RISK (15% CHANCE),68,80,500,100,55,35,23,28,35
31,1,0,1,Eastern Region,A LEVEL 2 of 5 RISK,99,99,500,100,10,8,25,14,15
48,1,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),60,59,1000,10,0.1,0.15,5,5,40
35,1,0,1,Eastern Region,A MODERATE RISK,45,90,500,1,0.001,0.1,8,6,3
27,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),100,100,100,50,50,50,50,70,40
38,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),100,100,1,1,1,20,5,7,30
31,1,0,2,Eastern Region,AN ENHANCED RISK,50,50,250,10,20,40,3,3,5
27,1,0,1,Western Region,A SLIGHT RISK (LEVEL 2 of 5),100,100,100,100,100,50,50,50,20
36,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),20,30,500,10,10,30,5,9,30
30,1,0,4,Western Region,A 5% CHANCE,100,100,100,100,10,10,10,10,10
47,1,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),1,2,5,50,50,50,50,50,50
39,1,0,1,Southern Region,AN 15% CHANCE,89,68,10,10,10,12,35,15,10
76,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,90,90,50,10,10,20,20,35,59
65,1,0,1,Southern Region,A SLIGHT RISK (5% CHANCE),90,90,10,10,10,10,10,10,10
24,1,1,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,90,600,10,0.1,10,20,15,20
33,0,0,1,Eastern Region,AN LEVEL 3 of 5 RISK,80,80,800,10,1,50,30,60,20
27,1,1,1,Western Region,AN ENHANCED RISK,87,90,500,10,0.1,25,30,20,4
69,0,0,4,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),100,100,50,0,5,40,3,3,5
20,0,0,1,Eastern Region,AN 15% CHANCE,85,90,500,30,100,100,10,3,26
20,1,0,2,Eastern Region,A MODERATE RISK,85,75,40,10,90,1,35,55,70
66,0,0,1,Western Region,AN 15% CHANCE,100,0,500,30,0.01,1,25,20,2
73,0,0,1,Western Region,A MODERATE RISK,70,90,500,10,0.001,3,30,15,4
24,1,0,2,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),60,40,1000,1,1,1,5,35,25
24,1,0,2,Western Region,A MODERATE RISK (30% CHANCE),30,60,1000,100,1,25,25,50,47
20,1,0,2,Southern Region,A 5% CHANCE,100,80,466,5,10,76,43,55,67
24,1,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),50,76,40,5,30,40,5,6,65
25,1,0,1,Southern Region,A 5% CHANCE,50,60,500,500,10,100,50,10,10
74,0,0,1,Eastern Region,AN LEVEL 3 of 5 RISK,50,50,500,1,1,2,3,6,10
67,1,0,1,Eastern Region,A 5% CHANCE,100,100,500,10,0.01,40,25,25,0
