p_id,age,gend,hisp,race,state,zip,nws_region,lat,lon,rural,home,follow,warn_hist,rand_morn,rec_morn,und_morn,resp_morn,rand_aft,rec_aft,und_aft,resp_aft,rand_eve,rec_eve,und_eve,resp_eve,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,income,inc_50,inc_100,inc_150,inc_200,edu
oDtnHD95nJhGvul7n9KYQg**,36,0,0,2,South Carolina,29223,Eastern Region,34.08529663,-80.91670227,2,1,4,1,6:00 AM,4,4,4,11:00 AM,4,4,4,11:00 PM,4,4,4,4,4,5,5,5,4,5,4,4,NA,NA,NA,16,6
oDtnHD95nJjchF5F06Mb-A**,48,0,0,4,Michigan,48045,Central Region,42.2315979,-83.26589966,3,3,3,0,7:00 AM,3,3,3,11:00 AM,3,3,3,11:00 PM,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,NA,NA,4
oDtnHD95nJhnHwRI8XZGsg**,62,0,0,2,Pennsylvania,15906,Eastern Region,40.30529785,-78.95400238,1,2,4,1,5:00 AM,3,4,4,2:00 PM,4,4,4,8:00 PM,4,4,4,5,5,4,4,1,4,5,5,1,2,NA,NA,NA,2
oDtnHD95nJgq16uL2KPGYQ**,55,0,1,7,Rhode Island,2906,Eastern Region,41.83070374,-71.39820099,2,1,5,0,8:00 AM,4,4,3,5:00 PM,5,5,5,6:00 PM,5,4,3,3,4,3,2,1,2,4,3,1,1,NA,NA,NA,2
oDtnHD95nJgoHSX7wiCsFg**,53,1,1,1,New Jersey,7660,Eastern Region,33.42939758,-112.3896027,2,1,4,1,4:00 AM,5,5,5,1:00 PM,5,5,5,11:00 PM,5,5,5,3,5,1,4,3,4,5,5,1,1,NA,NA,NA,4
oDtnHD95nJjjAlCOoTZD_w**,36,1,0,4,Oregon,97124,Western Region,45.53970337,-122.9637985,2,1,4,1,2:00 AM,4,4,4,10:00 AM,4,4,4,8:00 PM,4,4,4,4,3,4,4,3,3,3,4,3,NA,NA,11,NA,7
oDtnHD95nJiD6V3vr1Y4Mw**,49,0,0,1,South Carolina,29687,Eastern Region,34.92739868,-82.31860352,2,1,4,1,7:00 AM,3,3,3,12:00 PM (noon),4,4,4,12:00 AM (midnight),4,4,4,4,4,4,3,3,2,4,4,1,2,NA,NA,NA,4
5d126fd1-0362-7f01-085b-a471f3cde7bd,21,0,1,2,Massachusetts,6062,Eastern Region,42.46839905,-70.94650269,1,3,3,1,4:00 AM,4,1,4,2:00 PM,3,5,4,7:00 PM,4,3,2,3,4,1,5,2,3,5,3,1,1,NA,NA,NA,5
oDtnHD95nJg_hiwQXS7aAQ**,58,0,0,2,South Carolina,29461,Eastern Region,33.19619751,-80.02449799,2,1,4,1,9:00 AM,4,5,5,3:00 PM,5,5,5,11:00 PM,4,4,4,5,5,5,4,5,3,5,4,2,NA,6,NA,NA,7
oDtnHD95nJhrM_xBJ_61vQ**,46,1,1,1,California,94952,Western Region,37.7796936,-122.4159012,1,2,4,0,3:00 AM,5,4,4,3:00 PM,4,4,5,12:00 AM (midnight),5,4,4,5,4,4,4,5,4,4,4,2,NA,7,NA,NA,4
