hisp,english,spc_rand,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,weight
0,3,A,4,1,5,3,2,4,5,1,2,3,0.428106447
4,2,A,4,3,1,5,2,4,2,1,3,5,1.321607428
1,3,A,3,1,5,2,4,1,2,3,4,5,3.871872116
0,2,A,1,2,4,3,5,1,3,2,5,4,0.127269621
0,3,B,1,2,3,4,5,3,2,4,5,1,0.303048956
1,3,B,4,5,1,2,3,1,2,4,5,3,1.603965293
4,2,A,2,4,1,5,3,3,4,5,1,2,0.644925421
0,2,A,4,5,3,2,1,3,4,5,2,1,0.206244211
1,3,A,1,2,4,3,5,1,3,2,5,4,1.630448228
1,3,B,2,1,3,4,5,2,4,1,5,3,2.077147675
0,3,A,1,4,3,2,5,4,1,2,3,5,0.303048956
0,3,A,1,4,3,2,5,1,2,4,5,3,0.295119407
0,3,A,1,2,5,3,4,1,4,3,5,2,0.138014939
1,3,A,1,2,5,3,4,1,3,2,5,4,1.43190226
0,2,A,1,2,4,3,5,1,2,4,5,3,0.110644068
0,3,B,1,2,5,3,4,1,3,4,2,5,0.20890979
4,3,B,1,2,3,4,5,1,3,4,5,2,1.014529879
4,3,A,4,3,1,5,2,1,4,5,3,2,1.891117323
0,3,A,1,5,4,2,3,5,3,1,4,2,0.428106447
0,3,B,4,2,3,1,5,4,5,2,3,1,0.303048956
1,3,A,1,2,4,3,5,1,3,4,5,2,1.889417919
0,3,B,1,2,3,5,4,2,3,4,5,1,0.20890979
1,3,B,1,2,3,4,5,1,2,3,5,4,2.326745946
4,1,B,1,2,3,4,5,1,3,4,5,2,0.590713215
4,3,B,1,2,3,4,5,4,1,2,5,3,0.55456628
4,3,A,5,3,1,4,2,5,3,2,1,4,0.783415996
1,3,A,5,3,4,1,2,5,2,3,4,1,1.889417919
0,3,A,1,2,4,3,5,1,2,3,4,5,0.180275943
4,3,B,2,1,3,4,5,1,2,3,5,4,0.783415996
4,3,A,1,4,2,3,5,3,1,2,5,4,1.338688392
4,1,B,3,2,1,5,4,1,3,2,4,5,0.83447948
4,2,B,1,2,3,4,5,1,2,3,5,4,0.91106313
0,3,A,1,2,4,3,5,5,4,3,1,2,0.303048956
1,2,A,1,2,5,3,4,1,3,4,5,2,1.320419799
3,3,A,1,2,4,3,5,3,1,2,5,4,1.072876915
4,3,B,4,3,2,1,5,5,3,2,1,4,1.891117323
4,3,A,5,4,1,3,2,1,3,4,5,2,1.136439798
4,3,A,2,1,4,3,5,2,4,3,1,5,0.804465565
4,0,B,2,3,1,4,5,1,2,3,5,4,2.604829883
2,3,A,2,1,3,5,4,5,3,4,1,2,0.6266945
0,3,A,1,2,4,3,5,1,3,4,5,2,0.257264422
1,3,B,1,2,3,4,5,1,2,3,5,4,1.647062162
1,3,B,1,2,3,4,5,1,2,3,4,5,3.871872116
1,2,A,4,1,2,3,5,1,4,5,3,2,0.872327037
0,3,B,5,4,3,2,1,5,3,2,1,4,0.428106447
2,2,B,1,3,5,2,4,2,4,3,1,5,0.263189066
4,3,A,1,3,4,2,5,1,3,4,5,2,0.55456628
4,3,B,1,2,3,4,5,1,2,3,5,4,0.804465565
4,2,A,1,2,5,3,4,1,3,4,5,2,0.38755867
0,2,A,3,4,2,5,1,2,5,4,1,3,0.144523947
4,2,A,1,2,5,3,4,4,1,3,5,2,0.91106313
4,1,A,2,1,5,4,3,1,4,3,5,2,0.982989152
0,3,A,5,4,2,3,1,5,3,4,1,2,0.20890979
2,2,A,5,1,3,4,2,1,3,4,5,2,0.38178762
2,3,B,1,2,3,4,5,2,1,3,5,4,0.443625915
1,3,B,2,3,1,4,5,1,3,4,5,2,1.43190226
4,2,A,1,3,5,2,4,1,4,2,5,3,0.488759082
4,2,A,2,1,4,3,5,1,4,3,5,2,0.935542444
4,3,A,1,3,4,2,5,1,2,4,5,3,4.365614143
4,3,B,1,2,3,4,5,1,3,2,5,4,0.55456628
1,3,B,2,1,3,4,5,1,2,3,5,4,1.889417919
4,3,B,1,2,3,4,5,1,3,2,5,4,0.783415996
4,2,B,5,4,1,3,2,2,3,1,5,4,0.547490305
1,3,A,1,2,4,3,5,1,2,3,5,4,1.889417919
2,3,A,2,3,5,1,4,4,2,5,3,1,0.546308357
3,3,B,1,2,3,4,5,1,2,3,5,4,0.451789267
1,3,A,5,1,3,4,2,5,2,3,4,1,1.248232066
2,3,B,4,1,2,3,5,2,1,3,5,4,0.37660306
4,2,B,4,1,5,3,2,5,3,2,4,1,1.321607428
0,3,B,1,2,3,4,5,1,3,4,5,2,0.182112918
2,3,A,2,1,3,5,4,2,5,1,4,3,0.37660306
1,3,B,1,2,3,5,4,1,2,3,5,4,0.8604811
4,3,A,1,2,5,3,4,3,1,2,5,4,0.420280078
4,3,A,3,2,1,4,5,3,4,1,2,5,0.420280078
1,2,A,1,3,2,4,5,1,3,4,5,2,1.151049468
2,3,A,5,4,2,3,1,1,3,4,5,2,0.6266945
0,3,A,4,5,3,1,2,2,5,1,3,4,0.138014939
4,3,A,1,3,4,2,5,1,2,4,5,3,0.913529383
0,3,B,1,2,3,4,5,1,4,3,5,2,0.138014939
4,3,A,1,3,5,2,4,3,2,1,4,5,1.891117323
0,3,A,1,2,5,3,4,1,4,3,5,2,0.124275002
4,2,A,1,3,5,2,4,1,2,3,5,4,0.91106313
4,2,A,2,1,5,3,4,1,2,3,4,5,0.38755867
1,3,A,2,1,4,3,5,1,2,3,5,4,1.248232066
4,3,B,1,2,3,4,5,1,2,3,5,4,0.783415996
1,3,B,2,5,4,1,3,2,4,3,5,1,0.8604811
0,3,A,1,4,2,3,5,1,4,2,5,3,1.396103509
1,2,B,3,2,5,1,4,2,1,3,5,4,1.896107909
3,3,A,1,4,2,3,5,1,3,2,5,4,0.759470528
2,1,A,1,3,4,2,5,2,4,5,3,1,0.472541695
1,3,A,1,2,4,3,5,1,2,3,4,5,1.647062162
4,3,A,1,3,4,2,5,1,2,3,5,4,0.804465565
1,3,A,1,3,5,2,4,1,2,3,5,4,1.123965585
1,3,A,3,1,2,4,5,4,5,2,1,3,2.669113275
1,2,B,5,4,1,3,2,5,1,2,4,3,1.320419799
1,2,B,4,3,1,2,5,1,3,2,5,4,1.915428862
4,3,A,1,3,2,4,5,1,2,4,5,3,0.55456628
1,3,B,1,2,3,4,5,1,2,3,5,4,1.248232066
0,3,A,1,2,5,3,4,1,2,4,5,3,0.295119407
2,2,B,5,2,4,3,1,1,2,3,5,4,0.43796548
2,3,B,3,1,2,4,5,1,2,3,4,5,0.443625915
2,2,B,2,4,1,5,3,2,4,3,1,5,0.186306869
0,3,B,2,1,3,4,5,1,2,3,5,4,0.20890979
4,1,A,1,2,4,3,5,1,2,3,5,4,1.210513567
1,2,B,3,1,4,5,2,2,4,1,5,3,1.139438819
4,3,A,1,3,4,2,5,1,2,4,5,3,0.55456628
1,2,B,2,5,3,4,1,1,2,4,5,3,0.793487316
1,2,A,5,1,4,2,3,1,4,3,5,2,1.151049468
2,2,B,1,4,5,3,2,1,4,3,5,2,0.449733154
1,3,B,5,3,1,4,2,3,4,5,2,1,1.647062162
4,3,B,1,2,3,4,5,1,2,3,4,5,0.420280078
0,3,B,1,2,3,4,5,1,3,4,5,2,0.124275002
1,3,B,3,4,2,5,1,4,1,5,2,3,0.8604811
2,3,A,3,4,2,1,5,5,3,2,1,4,0.293078671
1,2,A,2,1,5,3,4,1,2,3,5,4,1.139438819
4,3,A,1,2,4,3,5,4,3,2,5,1,1.338688392
1,3,A,4,3,5,1,2,3,5,2,1,4,1.135418565
2,3,A,1,4,2,3,5,1,2,4,5,3,0.26390152
1,3,B,1,4,5,3,2,5,2,3,1,4,2.740829557
