age,gend,race,nws_region,follow,torwatch,torwarn,resp_ignore,resp_prot,resp_busy,resp_unsure,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,rq_4,rq_5,rq_6,edu,is_bluedot,time_taken,page_time
51,0,2,Eastern Region,4,1,NA,3,3,3,3,50,20,30,NA,,NA,NA,4,2,1,3,5,5,1,4,2,3,1,1,1,6,NA,41,37
32,0,3,Southern Region,4,NA,1,3,4,2,1,4,2,1,NA,,NA,NA,3,2,4,1,5,3,4,1,2,5,0,1,2,6,NA,10,20
51,0,2,Central Region,1,1,NA,2,4,1,1,5,50,1,NA,,NA,NA,3,1,4,2,5,4,1,2,5,3,0,0,0,6,NA,25,51
33,0,2,Eastern Region,4,NA,2,1,4,2,3,500,1000,85,NA,,NA,NA,1,2,4,3,5,4,1,3,5,2,0,0,0,6,NA,154,103
30,0,1,Central Region,4,1,NA,4,4,2,3,500,10,1,25,,40,10,5,4,2,3,1,5,4,3,1,2,0,0,0,4,NA,23,37
54,0,1,Eastern Region,3,NA,2,2,3,3,2,500,10,0.1,25,,14,8,4,1,3,2,5,1,2,3,4,5,0,1,1,6,NA,601,NA
50,1,1,Southern Region,3,NA,2,4,1,5,2,500,10,1,2,25,NA,NA,1,2,5,3,4,5,1,2,4,3,0,0,0,4,NA,39,50
42,1,1,Western Region,4,1,NA,1,4,2,4,500,10,0.1,25,,23,80,1,2,4,3,5,1,4,2,5,3,0,1,0,4,NA,12,28
80,0,1,Western Region,2,NA,2,3,3,3,3,500,300,7,NA,,NA,NA,1,2,4,3,5,1,2,3,5,4,0,1,0,7,NA,28,65
38,1,7,Eastern Region,3,NA,2,1,5,4,NA,200,100,20,NA,,NA,NA,3,5,4,1,2,4,5,3,2,1,1,2,1,5,NA,13,10
36,1,1,Western Region,4,2,NA,2,5,4,4,500,500,0.01,NA,,NA,NA,1,3,2,4,5,1,3,4,5,2,1,0,1,6,NA,273,NA
21,1,7,Eastern Region,2,NA,1,1,5,1,1,450,10,10,NA,,NA,NA,1,4,3,2,5,5,1,3,4,2,0,1,0,8,NA,46,56
24,0,1,Southern Region,5,1,NA,2,2,4,2,500,10,1,80,33,NA,NA,2,1,4,3,5,1,4,3,2,5,0,0,1,4,NA,30,46
57,0,1,Southern Region,5,NA,1,5,5,5,5,20,20,20,NA,,NA,NA,3,4,5,2,1,5,1,3,4,2,1,1,1,6,NA,13,24
30,0,3,Eastern Region,5,1,NA,4,2,2,3,475,2,1,NA,,NA,NA,2,1,4,3,5,1,2,3,5,4,0,0,0,2,NA,20,30
48,1,1,Southern Region,4,1,NA,3,5,NA,1,10,5,1,NA,,NA,NA,4,3,5,2,1,2,3,5,1,4,2,0,2,8,NA,13,14
29,0,2,Eastern Region,4,3,NA,2,3,3,3,500,10,1,5,30,NA,NA,1,2,3,4,5,3,2,1,5,4,0,0,0,2,NA,11,11
40,0,1,Eastern Region,4,NA,1,3,2,3,4,500,10,1,1,3,NA,NA,1,2,4,3,5,2,1,4,5,3,0,0,1,4,NA,38,66
21,0,1,Central Region,3,1,NA,3,3,3,3,1,1,1,NA,,NA,NA,3,1,2,4,5,1,2,3,5,4,2,2,2,3,NA,65,16
34,0,1,Southern Region,3,1,NA,3,3,2,3,500,1,1,NA,,NA,NA,4,1,3,2,5,4,1,2,5,3,0,0,2,4,NA,33,43
44,0,1,Southern Region,3,2,NA,4,4,5,4,400,5,30,NA,,NA,NA,1,2,3,5,4,1,2,4,5,3,1,1,0,4,NA,13,17
27,0,1,Central Region,5,1,NA,1,4,1,2,500,1,1,NA,,NA,NA,1,3,4,2,5,1,2,3,5,4,0,1,0,4,NA,18,48
22,0,1,Southern Region,3,NA,2,3,3,3,3,500,500,50,NA,,NA,NA,5,2,3,4,1,5,3,4,2,1,2,2,2,2,NA,14,17
21,1,1,Western Region,5,NA,1,4,4,5,3,10,100,60,NA,,NA,NA,5,3,4,2,1,4,3,2,1,5,0,0,2,5,NA,12,12
