CWA,zip,p_id,location,state,adults,risk_wind,risk_rain,risk_heat,risk_drought,risk_cold,risk_snow,risk_tor,risk_flood,risk_hur,risk_fire,sample,latitude,longitude,WFO,LON,LAT,CWA_REGION,FullStaId,CityState,City,State,ST,MALE,AGE,AGE_GROUP,HISP,RACE_GROUP,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
ABR,57469,1388343724,1,South Dakota,2,4,3,4,5,5,4,4,2,1,2,WX,44.864263,-98.5409,ABR,-99.15786876,45.05594,CR,KABR,Aberdeen SD,Aberdeen,South Dakota,SD,0,64,3,NA,1,1.9168403881611062,-0.3576604919484107,-0.1970471742911856,-0.3936193271027851,-0.5130928251706659,-0.09460305476336975,-0.07070103838846677,0.7257614813901122
AKQ,23958,1348234932,1,Virginia,2,5,4,5,4,4,5,4,3,4,4,WX,37.264896,-78.66558,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,56,2,0,3,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,22488,EPO7BW8G9QCPDH54M1,NA,Virginia,1,3,2,3,3,3,3,2,2,3,2,WX,38.046358,-76.57924,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,54,2,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23606,1320524944,1,Virginia,2,5,4,4,1,4,5,3,2,3,1,WX,37.078196,-76.49446,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,34,1,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,22572,1250622740,1,Virginia,2,5,5,5,4,4,2,5,3,3,3,WX,37.957869,-76.75725,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,44,2,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,27909,1318234739,1,North Carolina,1,3,3,4,2,3,3,2,4,4,2,WX,36.293192,-76.23692,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,67,3,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23898,1285974627,1,Virginia,2,5,5,5,5,5,5,5,3,5,5,WX,36.836423,-76.83731,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,53,2,1,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23225,1350681856,1,Virginia,2,3,3,2,2,3,3,2,3,3,3,WX,37.51918,-77.49851,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,71,3,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23901,EPO7FGVQHQ3RXLX4M1,NA,Virginia,2,3,3,4,4,2,3,2,2,2,2,WX,37.307946,-78.40144,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,73,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23233,EPO7FRNYCD3QG3L4M6,NA,Virginia,2,4,5,5,3,3,4,2,3,2,2,WX,37.622465,-77.61965,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,62,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23836,1387612314,1,Virginia,5,4,5,5,5,4,5,4,5,5,3,WX,37.343005,-77.34604,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,37,2,0,3,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
