WFO,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
ICT,-0.5596614272003229,-0.45584724196759446,0.24695258928754615,0.040465538300286326,-0.5130928251706659,-0.36970832354403443,1.287821628265917,0.29863003598346277
ILM,-0.5596614272003229,-0.3085671169388189,-0.6877837550887311,-0.3602281836102411,1.9799346665409225,-0.93214576194006,-0.3319553973604637,-0.5888541894725758
ILN,-0.6112552150203526,-0.5867629086598394,1.4212151219102445,-0.3936193271027851,-0.5130928251706659,-0.10071650518071772,0.4692246368203268,-1.2722645021232148
ILX,-0.04372354900002523,-0.5703984503233087,0.24695258928754615,0.007074394807742345,-0.5130928251706659,-0.41861592688281923,0.9568994402347212,-0.7644526725841982
IND,-0.766036578480442,-0.5867629086598394,1.6081623907854996,-0.5939661880580488,-0.5130928251706659,-0.6937211956634839,0.2079702778483299,-1.3861662208983214
IWX,-0.5080676393802932,-0.5867629086598394,-0.8396784110498762,-0.5605750445655049,-0.5130928251706659,-0.02124164975519254,-0.07070103838846677,-1.2532808823273636
JAN,-0.5596614272003229,-0.5703984503233087,1.4212151219102445,-0.12649017916243344,1.6237878820106955,-0.8526709065145346,2.5244255940667024,0.09930202812702613
JAX,-0.6112552150203526,1.7860835501371006,-0.3255734216429237,-0.6273573315505928,3.285806209818421,-1.0605282207043703,0.7478959530571234,0.1847283172083562
JKL,-0.6112552150203526,-0.5376695336502475,0.6909523528662779,-0.29344589662515325,-0.5130928251706659,0.11936770984381391,-0.7151284571860592,-1.1251414487053688
KEY,-0.766036578480442,-0.5867629086598394,-1.4297307284374012,-0.6273573315505928,0.6740631232634238,-1.1155492744605031,-1.1853863033356538,-1.642445088142311
LBF,0.21424539010012364,-0.4231183252945332,-0.9039415347257452,-0.5939661880580488,-0.5130928251706659,-0.4308428277175155,1.131069012882719,0.8349172952162558
LCH,-0.6628490028403825,-0.2922026586022882,-0.056836722634744104,-0.4937927575804169,1.7425034768541043,-0.9627130140268005,1.0962350983531193,-0.2661326529431071
LIX,-0.6112552150203526,-0.5867629086598394,-0.3138892173382203,-0.32683704011769715,2.8109438304447845,-1.0177340677829334,1.6709946880915123,-0.7217395280435334
LKN,-0.6628490028403825,-0.472211700304125,-1.1259414165151111,-0.6273573315505928,-0.5130928251706659,0.25997706944282034,-1.2028032606004533,1.3379832198063097
LMK,-0.3532862759202038,-0.5867629086598394,1.3744783046914304,-0.460401614087873,-0.5130928251706659,-0.7365153485849207,0.29505506417232885,-1.0634446843688528
LOT,5.270436596463042,-0.4885761586406557,0.15932105700227017,1.1089821300616929,-0.5130928251706659,-0.4308428277175155,0.15571940605393036,-1.2722645021232148
LOX,-0.766036578480442,0.6569359249164877,-0.7695731852216554,-0.3602281836102411,-0.5130928251706659,-0.7059480964981801,-1.167969346070854,0.6498270022067076
LSX,-0.4048800637402336,-0.5867629086598394,0.49232087968631866,3.11245073961433,-0.5130928251706659,-0.6631539435767434,1.1833198846771182,-0.2803703677899955
LUB,-0.6628490028403825,0.8369449666183244,-0.5767838141940482,-0.5605750445655049,-0.39437723032725686,-0.36970832354403443,0.6782281239979242,0.8539009150121069
LWX,1.1429335708606596,-0.22674482525616574,1.7016360252231275,2.1107164348380114,-0.03823044579702999,1.4093057479042639,0.29505506417232885,-0.8546248666144909
LZK,-0.6112552150203526,1.1315052166758757,2.3033725469153556,0.3075946862406379,0.19920074388978787,-0.2657796664491166,1.287821628265917,0.051842978637398666
MAF,-0.5596614272003229,-0.24310928359269637,1.123267912140306,-0.5939661880580488,-0.39437723032725686,-0.7304018981675725,0.3298889787019283,1.0911961624602458
