"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","zero_day","income","edu","nws_region","WW"
"62a8c776-d01d-973e-f727-516eceefb78b",71,6,0,0,1,3,2,1,5,4,6,3,3,3,3,1,1,6,"Eastern Region",42.2058823529412
"62a8f3db-dbed-6e91-0bac-2bf8d9e06263",38,3,1,1,1,NA,NA,NA,NA,NA,NA,4,4,5,3,5,2,5,"Eastern Region",42.2058823529412
"62a8de3d-f9c5-7fa9-9018-c182aa1ae39a",72,6,1,0,1,1,2,5,3,4,6,3,2,2,1,1,4,7,"Eastern Region",42.2058823529412
"62a8d7a7-690e-8868-9272-4b3d796ace83",69,6,1,0,1,1,4,2,3,5,6,1,1,3,4,4,4,4,"Eastern Region",42.2058823529412
"62a8c6cc-ff7a-671b-65b5-058215fe92f0",63,5,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,"Eastern Region",42.2058823529412
"7435696",23,1,1,1,1,5,1,6,4,3,2,2,5,3,4,1,2,3,"Eastern Region",42.2058823529412
"62a8d288-7d6e-9c13-3505-0d5694d00fe8",78,6,1,0,1,4,2,3,1,5,6,1,2,3,5,6,1,6,"Eastern Region",42.2058823529412
"62abbd49-d0f0-ba49-c66b-e8bc173db1dd",38,3,1,1,2,5,1,4,2,3,6,1,4,6,6,6,1,2,"Eastern Region",42.2058823529412
"62a8c263-f63a-9557-fe94-f7ea5ded0a20",22,1,0,0,1,1,2,6,4,3,5,1,1,1,4,5,4,4,"Eastern Region",42.2058823529412
"62a8dcf5-9aeb-8c22-3d25-3efbf351b57c",30,2,1,0,1,NA,NA,NA,NA,NA,NA,1,2,4,1,3,2,5,"Eastern Region",42.2058823529412
"62a8c06a-6ff1-1a03-17ce-21668b217c96",65,6,0,0,1,2,1,3,4,5,6,2,2,2,2,2,2,4,"Eastern Region",42.2058823529412
"62a8dfc0-19df-213b-6a97-2b16e5529ac8",65,6,1,0,2,1,1,1,1,1,1,6,2,3,4,6,2,4,"Eastern Region",42.2058823529412
"7115765",25,2,1,1,1,2,4,3,1,5,6,4,6,6,4,4,2,5,"Eastern Region",42.2058823529412
"62a8e5d0-3909-8475-cdb7-a2b855c763ab",28,2,0,0,3,3,6,5,1,2,4,1,4,6,3,2,1,4,"Eastern Region",42.2058823529412
"62a8d171-98c1-814d-2506-8dfdb54c8ec7",71,6,0,0,1,3,2,1,4,6,5,1,2,3,4,2,2,2,"Eastern Region",42.2058823529412
"62a8d539-7b50-bd62-bc1c-fe499f626680",72,6,1,0,1,NA,NA,NA,NA,NA,NA,2,4,4,5,5,1,5,"Eastern Region",42.2058823529412
"62a8d3c0-23bc-3f5c-fb0c-b90460005d46",67,6,1,0,1,1,4,5,2,3,6,1,4,NA,2,5,3,7,"Eastern Region",42.2058823529412
"3925605",45,4,1,0,4,4,3,1,2,5,6,3,2,1,4,5,2,2,"Eastern Region",42.2058823529412
