"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","three_days","one_day","four_hours","sixty_min","fifteen_min","income","edu","nws_region","WX"
"60c8ff82-bb01-660b-c0c6-11390c5d971a",57,5,1,0,1,NA,NA,NA,NA,NA,NA,6,6,6,6,6,1,2,"Eastern Region",31.4705882352941
"60c8c16c-d9b2-2dd6-fdc7-93aa0e3a2680",60,5,1,0,1,2,1,5,3,6,4,5,3,2,1,5,2,6,"Eastern Region",25.8823529411765
"60c8e495-7ac0-c617-bbdf-0daa3a47408e",75,6,1,0,1,3,2,1,4,5,6,3,1,4,5,6,1,3,"Eastern Region",25.8823529411765
"60c8f2fb-c453-c8b7-ec12-d9a368528719",63,5,1,0,1,1,3,2,4,6,5,3,4,1,1,5,2,6,"Eastern Region",25.8823529411765
"60c7a703-b6ab-67d0-d3b4-beeb9198b6c0",48,4,0,0,2,3,1,2,4,5,6,2,1,1,1,1,2,6,"Eastern Region",25.8823529411765
"60c7900b-5e9e-7a5d-cf83-6cd169a94d7f",56,5,1,0,2,3,6,4,2,1,5,1,2,3,4,3,3,4,"Eastern Region",25.8823529411765
"60c0ce32-0269-7f65-adbf-8dd254cccf0d",75,6,0,0,1,1,2,3,4,6,5,4,1,1,2,4,4,2,"Eastern Region",25.8823529411765
"60c8ec7b-cbdc-ee35-db4f-68cada56e9d1",68,6,1,0,1,3,2,6,1,5,4,2,3,5,6,6,2,2,"Eastern Region",25.8823529411765
"60c904e1-73a4-8486-cd75-7afd09042ca2",56,5,1,0,1,1,2,3,5,4,6,1,3,2,5,6,1,2,"Eastern Region",25.8823529411765
"60c908d7-0c6e-4103-1611-cdee413f4e4f",55,5,1,0,1,1,2,6,3,5,4,2,1,5,6,6,3,7,"Eastern Region",25.8823529411765
"60c8cf35-83ab-15c2-3f39-6c43714cd21e",22,1,1,0,1,3,1,4,2,6,5,4,3,4,3,4,2,7,"Eastern Region",25.8823529411765
"60ca27f1-26c9-e1e4-5579-84ab65d5fa38",49,4,0,0,1,2,4,3,1,5,6,3,1,2,4,6,3,6,"Eastern Region",25.8823529411765
"60c7e88d-9750-0d1f-0456-a83037f1b187",33,2,0,0,4,NA,NA,NA,NA,NA,NA,4,3,3,3,3,4,6,"Eastern Region",25.8823529411765
"60c0d384-de8b-17fd-7c82-4b08762f34d4",58,5,0,0,1,3,1,2,4,5,6,3,3,6,1,2,NA,6,"Eastern Region",25.8823529411765
"60c8f586-73cb-1c52-d5c9-2a480bb6a359",26,2,1,0,1,3,2,1,4,5,6,3,2,1,4,6,1,2,"Eastern Region",25.8823529411765
"60c8d207-d2bd-4230-19f4-8925247610ef",70,6,1,0,1,1,2,3,5,6,4,3,2,1,6,1,2,4,"Eastern Region",25.8823529411765
"60c8e378-a8bf-1f3f-aa64-a8dbc66c144c",65,6,1,0,1,3,6,2,1,4,5,1,2,4,5,6,2,6,"Eastern Region",48.3823529411765
"60c39009-f4e9-495f-0b69-850d7d5fa54d",43,3,0,1,1,1,2,4,6,5,3,4,5,5,5,2,2,5,"Eastern Region",48.3823529411765
"60c8c3ad-299c-1333-5bf1-28be0b15d30e",56,5,1,0,1,1,2,6,5,4,3,1,2,4,1,1,1,4,"Eastern Region",48.3823529411765
"60c0cf50-a58f-25d5-6e90-87458046b003",55,5,0,0,1,2,3,4,1,5,6,1,4,2,5,4,2,2,"Eastern Region",48.3823529411765
"60c0ce93-1eb4-5fb5-c94f-42ba70e227b7",45,4,0,0,1,1,2,4,3,5,6,1,3,4,5,4,2,6,"Eastern Region",48.3823529411765
"60c8c538-25af-fb81-f002-3e7b5a559866",57,5,1,0,1,3,2,4,1,5,6,3,4,3,1,5,1,3,"Eastern Region",48.3823529411765
"60c8f898-a4dd-d666-d436-c28102badaf2",37,3,1,0,1,2,1,6,3,5,4,3,3,2,1,NA,2,7,"Eastern Region",48.3823529411765
"60c0cfb4-ec0f-c31d-08af-a697074274fc",56,5,1,0,1,2,1,3,4,6,5,2,2,1,1,4,2,4,"Eastern Region",48.3823529411765
"60c779ca-89ec-7b57-29cf-fc90d98c90f1",29,2,0,0,4,2,1,6,3,4,5,3,2,2,2,2,2,7,"Eastern Region",48.3823529411765
"60c8db07-9d1d-d0a6-b237-2ab360a08b7f",72,6,1,0,1,NA,NA,NA,NA,NA,NA,1,2,5,4,6,1,2,"Eastern Region",48.3823529411765
"60c7ccbc-20d8-f99e-df52-9a859a66bdc1",31,2,0,0,4,5,3,6,1,4,2,1,2,6,4,5,2,6,"Eastern Region",48.3823529411765
"60c8c22e-1bce-7866-7807-ba4cea6497ee",61,5,1,0,1,3,1,2,5,4,6,3,4,2,5,5,1,4,"Eastern Region",48.3823529411765
"60c8c796-bf99-fbdb-761c-2913b0b9d11b",70,6,1,0,1,4,1,6,2,3,5,2,1,3,4,6,2,4,"Eastern Region",48.3823529411765
"60ca36b8-308b-0796-2f3c-aa665ca6a285",20,1,0,0,1,3,2,1,4,5,6,3,4,6,6,6,1,4,"Eastern Region",48.3823529411765
"60c8c4ae-21c0-51ca-41b9-238f41ac9ae0",58,5,1,0,1,3,1,2,4,5,6,3,2,4,1,5,1,2,"Eastern Region",48.3823529411765
"60c8d73f-a272-f707-ad14-8e957f3dece3",42,3,1,0,1,NA,NA,NA,NA,NA,NA,4,5,5,5,4,2,4,"Eastern Region",48.3823529411765
"60ca27ba-0cf5-61fa-d57b-9892e1d0c345",29,2,0,0,1,3,5,2,1,4,6,1,6,2,4,5,1,5,"Eastern Region",48.3823529411765
"60ca2726-1e7c-d83d-ec06-9c841b8bda0d",34,2,0,0,1,NA,NA,NA,NA,NA,NA,2,1,4,3,6,2,2,"Eastern Region",48.3823529411765
"60c8c3c2-4f7b-4fbd-9f9f-bb7db189f190",41,3,1,0,1,NA,NA,NA,NA,NA,NA,3,2,2,4,2,1,2,"Eastern Region",48.3823529411765
"60ca2c8d-a13e-a34c-2e55-f3f2f97abe09",57,5,0,0,1,3,1,6,4,5,2,1,3,1,6,6,2,2,"Eastern Region",48.3823529411765
"60c92e83-74b4-c36a-5989-d3e8bdc47a13",21,1,0,0,1,NA,NA,NA,NA,NA,NA,1,3,4,6,6,2,6,"Eastern Region",48.3823529411765
"60c8c058-ca80-915f-7955-62e1c83a65d6",47,4,1,0,1,4,3,2,1,5,6,3,3,1,1,4,1,4,"Eastern Region",NA
"60c8e791-ad87-62c9-1076-3161f873a0f3",71,6,1,0,1,5,6,2,4,3,1,1,2,4,5,6,1,4,"Eastern Region",48.3823529411765
"60c8cd43-6baf-213a-1b7b-7ce10f6b4f2b",20,1,1,0,1,6,1,5,4,3,2,3,4,5,6,1,3,4,"Eastern Region",48.3823529411765
"60c22598-ffbc-2845-906b-1f2cb2526b97",43,3,0,1,6,1,5,3,2,4,6,1,1,1,1,1,2,6,"Eastern Region",48.3823529411765
"60c90917-d694-d695-b7f1-f58379ebb491",41,3,1,0,1,6,3,2,4,5,1,2,3,5,4,4,4,7,"Eastern Region",48.3823529411765
"60ca40d4-1064-d25c-64ac-ae94bf422b8d",33,2,0,0,1,3,4,1,2,5,6,3,4,6,6,5,3,6,"Eastern Region",48.3823529411765
"60ca272e-33f0-93e2-f289-141280dd0ef5",60,5,0,0,1,1,2,5,3,4,6,1,1,2,2,2,1,2,"Eastern Region",48.3823529411765
"60c8e933-cbb6-f386-49f9-0d078ff42cf0",35,3,1,0,1,4,2,3,5,6,1,3,1,6,6,6,4,7,"Eastern Region",25.8823529411765
"60c7831a-73e7-a391-bbfd-567c5761dcd9",35,3,0,0,2,4,1,5,2,3,6,4,1,2,4,6,3,7,"Eastern Region",25.8823529411765
"60c8cd66-887f-22eb-9805-d8ce2f135cc2",30,2,1,0,1,4,1,3,2,5,6,4,4,3,4,6,NA,NA,"Eastern Region",25.8823529411765
"60c8d3e7-de40-ed49-7315-66e0e11b5a4e",30,2,1,0,1,4,5,3,6,1,2,2,4,1,3,4,4,6,"Eastern Region",25.8823529411765
"60c23b80-8143-684b-7977-88b843a9c88d",35,3,1,1,1,2,1,6,4,5,3,5,6,2,2,6,3,6,"Eastern Region",25.8823529411765
"60c7bc52-097a-6e57-4620-365c0f2c130c",43,3,0,0,2,5,3,2,6,1,4,1,2,4,5,6,1,6,"Eastern Region",25.8823529411765
"60ca280c-baa5-e8b9-99ec-1f50539f9aa7",37,3,0,0,1,6,4,5,2,3,1,2,4,6,4,1,1,6,"Eastern Region",25.8823529411765
"60c8db91-f1a2-8ad8-9585-021d71c3fb41",35,3,1,0,1,2,6,3,4,5,1,3,2,4,3,4,4,7,"Eastern Region",25.8823529411765
"60c0cf51-d35a-ef61-6a2a-c1390ac6a5c4",45,4,0,0,1,1,4,3,2,6,5,3,4,4,4,6,3,2,"Eastern Region",25.8823529411765
"60c8daf8-5835-2914-3ec8-0dadb1ee7cee",35,3,1,0,1,4,3,2,1,6,5,3,2,6,6,6,4,7,"Eastern Region",25.8823529411765
"60c7918f-baf3-652b-2a3f-46e66451bfed",35,3,1,0,1,5,3,1,2,4,6,2,3,3,4,3,3,8,"Eastern Region",25.8823529411765
"60c526c3-7c24-1286-d95e-25773afb3791",33,2,0,1,2,NA,NA,NA,NA,NA,NA,4,1,4,4,5,1,2,"Eastern Region",25.8823529411765
