"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","income","edu","nws_region","TC"
"60d9e246-092f-a5a3-09aa-6875f0a0ca3b",58,5,1,0,1,1,2,4,3,5,6,3,2,1,4,1,2,"Eastern Region",2.20588235294118
"60da0431-3ba1-fff6-9e31-3d690fb527cd",54,4,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,"Eastern Region",2.20588235294118
"60d4ea59-2d9c-ef5e-c6e6-f9d10ac293ae",52,4,0,0,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,"Eastern Region",2.20588235294118
"60d9e279-0d2c-426b-1bb7-9c7db4e2d0ba",76,6,1,0,1,2,4,1,3,5,6,3,3,1,4,3,7,"Eastern Region",2.20588235294118
"60d9e40c-d460-10de-a289-3dde8dc187f5",64,5,1,0,1,4,1,5,2,3,6,1,2,3,4,3,6,"Eastern Region",2.20588235294118
"60d9e57e-a611-87d8-f408-17fc95f73aa9",38,3,1,0,1,1,3,4,2,5,6,1,2,3,4,1,2,"Eastern Region",2.20588235294118
"60d20a4b-c6fa-10bf-c43d-245eae12ee2d",74,6,0,0,1,1,2,6,3,4,5,5,4,3,1,1,2,"Eastern Region",2.20588235294118
"60d49c11-acf0-f7ee-b875-654ad3d49cdb",51,4,1,0,2,1,3,6,2,4,5,3,1,4,6,1,2,"Eastern Region",2.20588235294118
"60d68501-b0b9-bdfd-f346-affd2ed35a03",59,5,0,0,1,2,1,3,4,5,6,1,1,1,2,1,4,"Eastern Region",2.20588235294118
"60d9e27d-11ba-d2fc-ba2c-422033040524",43,3,1,0,1,1,4,3,2,5,6,3,3,2,1,1,5,"Eastern Region",2.20588235294118
"60d9f296-2e8e-589c-e52f-593c830f2f4d",67,6,1,0,1,1,5,3,2,4,6,2,3,1,1,4,8,"Eastern Region",2.20588235294118
"60d20da1-7f32-ef8c-de06-c5ec935a364f",69,6,0,0,1,1,4,6,3,2,5,1,1,4,5,1,2,"Eastern Region",2.20588235294118
"60d20c4f-c268-875a-eea6-4c85e7dd98f4",43,3,0,0,2,NA,NA,NA,NA,NA,NA,5,4,3,4,1,6,"Eastern Region",2.05882352941176
"60db562f-d828-32d0-8567-512c3540dc4b",34,2,0,0,1,6,3,5,4,1,2,4,4,1,4,4,7,"Eastern Region",2.05882352941176
"60d9ed13-5761-7467-6799-be5bdff608f7",38,3,1,0,1,2,3,5,1,4,6,4,1,3,6,4,6,"Eastern Region",2.05882352941176
"60db5c14-e0d7-788e-e57b-cfdca235a0a7",30,2,0,0,1,2,4,5,1,6,3,1,2,1,3,3,7,"Eastern Region",2.05882352941176
"60d9ed12-83df-0e2d-6b08-739443c4187c",25,2,1,0,1,4,1,2,5,3,6,3,1,1,4,3,6,"Eastern Region",2.05882352941176
"60d9ec62-2df6-9ba7-10d5-2c87aec595fe",30,2,1,0,1,4,3,2,5,1,6,1,2,3,4,3,6,"Eastern Region",2.05882352941176
"60d9eeed-9f45-526c-4196-bbe384615eed",30,2,1,0,1,6,5,1,3,4,2,2,4,4,4,2,6,"Eastern Region",2.05882352941176
"60d35461-e988-0f56-6c5f-8a6e6829836a",35,3,1,1,1,1,3,6,4,5,2,1,2,6,4,3,6,"Eastern Region",2.05882352941176
"60d9ebe9-0283-9f0c-388f-198d6bd55ef1",30,2,1,0,1,3,1,6,5,2,4,6,6,6,6,3,6,"Eastern Region",2.05882352941176
"60d2bbee-0fe8-aef7-c18f-30f22d5cf5b3",30,2,1,1,1,5,4,1,2,6,3,1,1,1,2,3,6,"Eastern Region",2.05882352941176
"60d9ed92-5251-bae4-e478-ac8f24924875",30,2,1,0,1,2,5,6,3,1,4,4,4,5,6,3,7,"Eastern Region",2.05882352941176
"60d5f88d-54ee-25a7-594c-a3f7d68c35ba",30,2,1,0,4,1,5,3,2,4,6,1,1,1,1,3,8,"Eastern Region",2.05882352941176
"60d28ee3-6d52-b447-daa2-51f70d19b2bb",30,2,1,0,1,1,2,5,3,4,6,4,2,5,5,3,4,"Eastern Region",2.05882352941176
"60d9f24b-b486-431d-be7d-e6a89dc5eaf8",72,6,1,0,1,2,3,1,4,5,6,1,4,5,4,3,6,"Eastern Region",2.05882352941176
"60d9f6de-f8e5-1fa5-a767-b94b410a28c7",37,3,1,0,1,4,5,3,1,6,2,1,6,6,1,3,8,"Eastern Region",2.05882352941176
"60d9ecc8-bdf4-7475-a00e-557be5e82c01",28,2,1,0,1,4,2,3,5,6,1,3,3,1,1,3,7,"Eastern Region",2.05882352941176
"60d9f51a-0a35-e8d4-359a-7404fa88c0be",36,3,1,0,1,6,1,5,4,3,2,2,3,3,3,4,7,"Eastern Region",2.05882352941176
"60d9f522-f4f6-be3d-9ee0-85052374667f",34,2,1,0,1,1,2,3,4,5,6,6,5,4,2,3,7,"Eastern Region",2.05882352941176
"60d284bb-3e90-d4d4-b284-2bc31d2ff31c",30,2,0,1,1,3,4,6,2,5,1,4,2,4,1,NA,5,"Eastern Region",2.05882352941176
"60d4aaeb-8d83-0413-6f1d-16fa4e090af2",42,3,1,0,2,5,4,1,3,2,6,5,2,1,4,4,7,"Eastern Region",2.05882352941176
"60d4b968-554e-499a-31ec-d4a7b88c76f6",40,3,1,1,2,3,4,6,1,5,2,5,2,1,1,2,7,"Western Region",2.05882352941176
"60d5be36-1d7c-fab3-0b0f-fa3450d57a37",27,2,0,0,2,2,3,6,5,4,1,2,3,4,5,1,3,"Eastern Region",2.05882352941176
"60d4a2d3-4593-9f66-6da8-a847c24c286c",40,3,0,0,2,NA,NA,NA,NA,NA,NA,1,4,5,6,1,2,"Eastern Region",2.05882352941176
"60d35630-29c5-7ba3-0d66-495eaa8a0d5c",40,3,1,1,1,3,2,4,1,6,5,1,2,1,3,3,6,"Eastern Region",2.05882352941176
"60d35cd5-4333-ecfa-2888-20ce6ab86996",40,3,1,1,1,6,5,4,2,1,3,4,2,3,2,3,6,"Eastern Region",2.05882352941176
"60d5897d-b327-0b8f-cf44-016a11ed766e",35,3,0,0,4,6,2,3,1,5,4,1,4,5,1,2,6,"Eastern Region",2.05882352941176
"60d9ffbc-b5a2-ea97-711c-3c86e1da77bb",60,5,1,0,1,NA,NA,NA,NA,NA,NA,1,2,3,4,4,7,"Eastern Region",2.05882352941176
"60d34ecb-2fa6-c037-56a9-3049911f613c",51,4,0,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,"Eastern Region",2.05882352941176
"60d28b52-469d-85c5-6d02-ae0f93377a7c",58,5,1,1,1,1,5,4,2,3,6,3,2,2,1,4,7,"Eastern Region",2.05882352941176
"60d9f065-ca0a-5d96-a634-e848dbe31309",40,3,1,0,1,1,4,2,5,3,6,1,3,2,1,4,7,"Eastern Region",2.05882352941176
"60d3795a-5c31-040c-2ce4-5a769c4c863e",34,2,1,1,1,NA,NA,NA,NA,NA,NA,5,6,5,6,3,7,"Eastern Region",2.05882352941176
"60db408a-780d-e41e-7cce-4a2e9d3d03bc",51,4,0,0,1,1,6,2,4,5,3,3,1,5,1,3,6,"Eastern Region",2.05882352941176
"60d60769-10ac-070c-6d02-8175d9376c83",64,5,1,0,1,1,2,4,3,6,5,1,4,4,6,2,6,"Eastern Region",2.05882352941176
"60d4a77e-6f1a-36a8-5226-e499144845a8",34,2,0,0,2,1,2,5,3,4,6,1,2,6,6,1,4,"Eastern Region",2.05882352941176
"60d9eee2-7e85-b88c-07d0-b428bf55c942",43,3,1,0,1,NA,NA,NA,NA,NA,NA,1,2,5,6,3,7,"Eastern Region",2.05882352941176
"60d28264-b83c-6fb2-755c-749e51efc508",57,5,0,1,1,5,1,2,3,4,6,1,4,2,6,1,5,"Eastern Region",2.05882352941176
"60da0220-833a-7509-957b-57dfde49b7b7",45,4,1,0,1,1,6,5,3,4,2,2,3,1,2,4,7,"Eastern Region",2.05882352941176
"60d9ef16-8b22-553f-1659-af3a888b00de",41,3,1,0,1,3,2,6,1,4,5,6,6,6,6,3,7,"Eastern Region",2.05882352941176
"60d9fa30-02df-01f1-06e6-0c86cfc79cce",41,3,1,0,1,4,6,5,2,1,3,6,3,3,4,4,7,"Eastern Region",2.05882352941176
"60d9f880-dbae-4387-3603-bc67c76ba56a",40,3,1,0,1,1,4,5,3,6,2,6,1,5,4,4,7,"Eastern Region",2.05882352941176
"60d9f05e-07fb-61a5-eb39-c2504292bf22",69,6,1,0,1,1,3,5,2,4,6,3,1,4,5,2,6,"Eastern Region",2.05882352941176
"60d20b90-bad3-895b-5246-9ecfdfb6e1e0",70,6,0,0,1,NA,NA,NA,NA,NA,NA,3,5,6,6,2,7,"Eastern Region",2.05882352941176
"60d9febc-1b12-f821-fdf2-4259c4dda59c",33,2,1,0,1,5,2,6,1,4,3,2,3,6,5,2,6,"Eastern Region",2.05882352941176
"60d5dc7d-3dc4-cd16-4e8b-87e41be79854",23,1,0,0,2,3,1,5,4,2,6,2,5,2,2,1,2,"Eastern Region",2.05882352941176
