torwatch,torwarn,weightfactor,lang
2,NA,0.00966,English
2,NA,1.528489,English
1,NA,1.291172,English
NA,2,0.717276,English
2,NA,0.102804,English
NA,3,1.262785,English
1,NA,0.290423,English
2,NA,0.523124,English
2,NA,1.765477,English
1,NA,0.907373,English
NA,2,1.105563,English
NA,2,0.490037,English
2,NA,1.420202,English
NA,2,0.206933,English
1,NA,0.661991,English
NA,2,0.717276,English
1,NA,0.234539,English
NA,2,0.34857,English
NA,2,0.582884,English
1,NA,0.34857,English
NA,2,0.177656,English
NA,2,1.029819,English
NA,1,0.126837,English
2,NA,0.083998,English
NA,2,1.296175,English
NA,2,0.35912,English
1,NA,1.185732,English
NA,2,1.244855,English
1,NA,1.49461,English
NA,2,0.796323,English
2,NA,0.529749,English
NA,2,1.801764,English
NA,2,1.186686,English
2,NA,0.447355,English
NA,2,0.360774,English
NA,2,0.287694,English
1,NA,0.984748,English
NA,3,0.572854,English
1,NA,0.214461,English
NA,2,0.717276,English
3,NA,0.762157,English
NA,2,0.346351,English
NA,2,1.179981,English
NA,2,1.179981,English
2,NA,0.206933,English
NA,3,1.069742,English
NA,2,0.234539,English
NA,2,0.34857,English
1,NA,1.657257,English
NA,2,0.145598,English
NA,1,1.179981,English
NA,2,1.069742,English
1,NA,0.178106,English
NA,2,2.909562,English
1,NA,0.593401,English
NA,2,0.481,English
NA,2,0.614028,English
1,NA,0.447355,English
1,NA,1.234686,English
NA,2,4.921395,English
NA,1,0.490037,English
NA,2,0.535257,English
NA,2,1.528489,English
1,NA,0.535257,English
NA,2,0.728055,English
2,NA,0.931537,English
NA,2,0.067523,English
NA,1,3.789164,English
1,NA,0.529749,English
1,NA,0.661991,English
1,NA,0.323775,English
1,NA,0.535178,English
NA,1,0.754977,English
NA,1,0.178106,English
1,NA,0.287694,English
NA,3,0.714011,English
NA,2,0.098868,English
1,NA,1.064699,English
2,NA,0.59271,English
NA,2,1.940406,English
2,NA,0.539852,English
2,NA,1.940406,English
NA,2,0.540558,English
1,NA,0.539852,English
1,NA,0.612277,English
3,NA,0.350555,English
NA,2,0.072659,English
1,NA,0.34857,English
1,NA,0.907373,English
NA,2,0.695673,English
1,NA,1.613885,English
1,NA,0.34857,English
NA,2,1.001785,English
1,NA,1.871483,English
NA,2,0.535178,English
NA,2,1.420202,English
NA,2,1.49461,English
1,NA,0.754977,English
1,NA,0.206933,English
NA,2,0.073217,English
1,NA,0.717276,English
NA,1,0.38886,English
NA,3,0.34857,English
NA,2,0.714011,English
2,NA,0.786224,English
1,NA,1.001785,English
NA,2,0.704221,English
NA,3,0.34857,English
NA,2,4.675436,English
2,NA,0.661991,English
NA,2,0.540558,English
NA,2,0.529749,English
NA,2,1.99271,English
NA,2,0.487458,English
2,NA,0.907373,English
NA,1,0.48887,English
1,NA,0.447355,English
3,NA,0.490037,English
2,NA,2.352793,English
NA,2,1.33715,English
NA,2,0.726937,English
1,NA,0.295422,English
2,NA,1.709348,English
2,NA,0.97327,English
NA,2,1.705043,English
NA,2,0.43114,English
3,NA,0.949496,English
1,NA,1.194246,English
NA,2,0.521367,English
NA,2,0.459156,English
NA,2,0.585384,English
NA,1,0.211855,English
NA,2,0.585384,English
NA,2,0.704221,English
1,NA,0.654599,English
1,NA,0.549405,English
NA,1,0.659205,English
1,NA,0.654599,English
NA,2,1.72809,English
2,NA,0.671341,English
NA,2,0.221491,English
1,NA,0.459156,English
NA,2,0.651099,English
NA,NA,0.539549,English
1,NA,0.227559,English
2,NA,0.604648,English
2,NA,0.420272,English
1,NA,0.522794,English
NA,2,0.843133,English
NA,2,1.092456,English
1,NA,0.521367,English
NA,2,0.967694,English
2,NA,0.411192,English
1,NA,0.674799,English
1,NA,0.837043,English
NA,2,0.666453,English
NA,3,1.393742,English
NA,2,0.585384,English
NA,1,0.435587,English
1,NA,1.142834,English
NA,2,0.949496,English
1,NA,1.779924,English
NA,2,0.704221,English
2,NA,0.295422,English
2,NA,0.604648,English
NA,2,0.308563,English
2,NA,0.475894,English
1,NA,0.320173,English
2,NA,0.518385,English
1,NA,1.649517,English
NA,2,0.653423,English
NA,2,0.580218,English
1,NA,0.762731,English
2,NA,0.458839,English
3,NA,0.549405,English
2,NA,0.659205,English
2,NA,1.142834,English
1,NA,1.649517,English
1,NA,0.707266,English
NA,2,0.420272,English
NA,2,1.228782,English
NA,3,0.459156,English
NA,2,1.142834,English
NA,2,0.269414,English
NA,2,0.521367,English
NA,3,0.593003,English
NA,2,0.221491,English
NA,2,0.539549,English
NA,1,1.384502,English
NA,2,0.309667,English
NA,2,0.522794,English
NA,2,0.221491,English
NA,2,0.967694,English
3,NA,0.659205,English
3,NA,0.420272,English
1,NA,3.201596,English
NA,NA,0.762731,English
NA,2,0.420272,English
1,NA,0.843133,English
2,NA,0.585384,English
1,NA,0.308563,English
NA,2,0.227559,English
2,NA,0.308563,English
1,NA,0.659205,English
NA,2,1.672552,English
2,NA,0.762854,English
NA,2,0.671,English
2,NA,1.705043,English
NA,2,0.654599,English
NA,2,0.45008,English
1,NA,0.41079,English
2,NA,0.420272,English
NA,2,0.420272,English
NA,2,0.843133,English
NA,2,0.459905,English
1,NA,2.946385,English
1,NA,0.604648,English
NA,1,0.633856,English
2,NA,0.940128,English
NA,2,0.303984,English
2,NA,0.632396,English
2,NA,0.658637,English
1,NA,0.204536,English
1,NA,0.458839,English
NA,NA,0.651099,English
NA,1,0.549405,English
3,NA,0.704221,English
NA,1,0.97327,English
NA,2,1.419572,English
2,NA,0.34221,English
3,NA,1.726445,English
NA,1,0.902996,English
2,NA,0.549405,English
NA,1,0.633856,English
2,NA,1.070023,English
1,NA,1.384502,English
2,NA,0.459156,English
1,NA,0.585384,English
NA,2,1.070023,English
NA,1,0.902996,English
1,NA,0.521367,English
2,NA,0.593003,English
NA,2,0.593401,English
1,NA,2.909562,English
1,NA,0.940128,English
NA,2,0.221491,English
3,NA,0.967694,English
2,NA,0.459156,English
NA,2,0.766905,English
NA,3,0.843133,English
1,NA,0.606347,English
1,NA,0.458839,English
1,NA,0.308563,English
NA,NA,0.635867,English
1,NA,0.446631,English
NA,2,0.211855,English
2,NA,1.726445,English
1,NA,1.783571,English
1,NA,0.766905,English
NA,2,0.595089,English
2,NA,0.420272,English
NA,2,0.411192,English
2,NA,0.865764,English
NA,2,0.670681,English
3,NA,0.653423,English
1,NA,0.539549,English
NA,1,0.539549,English
NA,2,0.941948,English
2,NA,1.765477,English
2,NA,1.070023,English
NA,2,1.252327,English
NA,1,0.632396,English
2,NA,0.604648,English
3,NA,0.391821,English
NA,1,0.518385,English
1,NA,0.659205,English
NA,2,0.459156,English
NA,2,0.941948,English
NA,2,0.580983,English
3,NA,0.521367,English
1,NA,0.391821,English
2,NA,0.449176,English
NA,1,1.234686,English
NA,2,1.194246,English
1,NA,3.949828,English
NA,2,0.688925,English
1,NA,1.33715,English
1,NA,0.321952,English
2,NA,1.642066,English
NA,3,0.539549,English
2,NA,0.651099,English
NA,2,0.459156,English
1,NA,0.949496,English
NA,2,0.227559,English
1,NA,4.579378,English
NA,1,0.949496,English
2,NA,0.295422,English
1,NA,0.385972,English
1,NA,0.411192,English
1,NA,0.521367,English
1,NA,0.604648,English
NA,2,0.539549,English
NA,2,0.653423,English
NA,1,0.102712,English
NA,2,1.142154,English
NA,2,0.653423,English
NA,2,0.475894,English
NA,2,0.352354,English
NA,2,0.766905,English
NA,1,0.420272,English
NA,2,0.36234,English
1,NA,0.885432,English
NA,2,1.408229,English
1,NA,0.671341,English
1,NA,0.459156,English
1,NA,0.352354,English
NA,2,0.762731,English
2,NA,0.246593,English
NA,2,1.228782,English
NA,2,0.408464,English
NA,2,0.704221,English
2,NA,1.00787,English
NA,2,0.595089,English
NA,2,0.420272,English
1,NA,0.635616,English
NA,2,0.762731,English
1,NA,0.449176,English
NA,3,0.435587,English
NA,2,0.941948,English
NA,1,0.579645,English
NA,2,0.34221,English
2,NA,0.681226,English
NA,1,9.989085,English
NA,2,0.320173,English
2,NA,0.580218,English
NA,2,0.449176,English
2,NA,0.295422,English
1,NA,0.477916,English
NA,2,0.321952,English
1,NA,0.654599,English
NA,2,0.653423,English
NA,2,0.549405,English
NA,2,0.671,English
2,NA,0.654599,English
NA,2,0.228055,English
NA,2,0.97327,English
NA,3,0.75527,English
1,NA,1.097236,English
NA,2,0.295422,English
1,NA,0.321952,English
NA,2,0.36234,English
NA,2,3.070831,English
NA,2,0.371218,English
NA,3,0.604648,English
NA,2,0.435587,English
NA,2,0.321952,English
NA,2,0.990728,English
NA,2,0.477916,English
NA,2,1.335975,English
NA,2,0.630072,English
2,NA,1.151189,English
NA,2,0.536749,English
1,NA,0.75527,English
NA,1,0.632396,English
1,NA,0.475894,English
1,NA,0.518385,English
1,NA,0.546617,English
1,NA,0.227559,English
NA,2,0.676404,English
NA,2,0.122523,English
NA,1,0.321952,English
1,NA,0.593401,English
1,NA,1.623058,English
NA,2,0.477916,English
NA,2,0.798225,English
NA,2,0.283101,English
NA,2,2.285939,English
2,NA,0.227559,English
NA,1,0.307224,English
2,NA,0.41079,English
NA,3,0.211855,English
1,NA,1.050595,English
NA,2,1.392031,English
NA,2,0.522794,English
2,NA,0.7404,English
1,NA,0.307224,English
NA,1,0.122523,English
NA,2,0.122523,English
NA,2,2.315204,English
NA,2,0.227559,English
NA,1,0.41079,English
3,NA,0.102712,English
NA,2,0.798225,English
NA,2,0.385972,English
1,NA,3.186876,English
NA,2,0.729703,English
3,NA,0.762854,English
1,NA,0.630072,English
2,NA,1.458954,English
NA,2,0.865764,English
1,NA,0.630072,English
NA,2,0.122523,English
1,NA,0.865764,English
NA,3,1.712497,English
1,NA,1.565939,English
1,NA,0.968729,English
1,NA,0.38886,English
NA,2,0.841543,English
1,NA,0.808962,English
1,NA,0.856761,English
NA,2,0.612277,English
1,NA,0.743294,English
NA,2,0.763914,English
1,NA,0.841543,English
NA,2,1.91449,English
1,NA,0.841543,English
NA,2,1.956889,English
NA,2,0.857669,English
2,NA,0.526114,English
1,NA,0.726937,English
NA,2,0.857669,English
NA,2,0.743294,English
1,NA,1.565939,English
1,NA,0.743294,English
1,NA,0.635616,English
NA,2,0.763914,English
1,NA,0.540558,English
NA,2,0.572854,English
NA,2,1.408229,English
NA,1,0.804612,English
NA,2,0.484508,English
1,NA,0.884218,English
NA,2,1.657257,English
1,NA,0.590807,English
NA,2,0.726937,English
1,NA,0.467797,English
NA,2,0.546617,English
NA,2,0.672302,English
NA,2,0.526114,English
2,NA,1.712497,English
NA,3,0.672302,English
NA,2,0.526114,English
NA,2,0.484508,English
NA,2,0.546617,English
2,NA,0.479538,English
1,NA,0.572854,English
1,NA,0.540558,English
1,NA,1.107378,English
1,NA,0.546617,English
3,NA,0.590807,English
NA,2,0.672302,English
2,NA,0.467797,English
1,NA,0.467797,English
1,NA,0.526114,English
1,NA,0.572854,English
1,NA,0.546617,English
1,NA,0.540558,English
NA,2,0.479538,English
1,NA,0.323775,English
1,NA,0.484508,English
NA,1,0.939256,English
2,NA,1.712497,English
1,NA,0.743294,English
NA,1,0.726937,English
1,NA,0.38886,English
1,NA,0.808962,English
1,NA,0.63786,English
NA,2,0.804612,English
1,NA,1.712497,English
1,NA,0.635616,English
NA,2,0.726937,English
1,NA,0.487458,English
1,NA,0.487458,English
NA,2,0.487458,English
2,NA,0.726937,English
NA,1,0.481,English
1,NA,0.763914,English
1,NA,0.590807,English
NA,2,0.546617,English
NA,1,1.409547,English
2,NA,1.409547,English
NA,2,0.481,English
1,NA,0.743294,English
1,NA,0.743294,English
2,NA,0.484508,English
NA,2,0.526114,English
2,NA,0.606347,English
NA,2,0.743294,English
NA,2,0.606347,English
NA,1,0.763914,English
1,NA,1.91449,English
NA,2,0.479538,English
NA,1,0.743294,English
2,NA,0.467797,English
1,NA,0.940128,English
1,NA,1.142142,English
NA,2,0.572854,English
NA,2,0.593401,English
1,NA,0.940128,English
1,NA,0.726937,English
NA,2,0.484508,English
NA,2,1.19344,English
1,NA,0.467797,English
1,NA,0.808962,English
1,NA,0.593401,English
NA,2,0.900941,English
NA,1,0.484508,English
NA,2,0.484508,English
NA,2,0.484508,English
1,NA,1.064224,English
1,NA,0.323775,English
NA,2,0.546617,English
1,NA,0.481,English
NA,3,1.300098,English
1,NA,0.884218,English
1,NA,0.540558,English
1,NA,0.611835,English
NA,2,0.479538,English
NA,2,0.635616,English
2,NA,0.590807,English
1,NA,0.726937,English
1,NA,0.487458,English
1,NA,0.743294,English
1,NA,0.487458,English
NA,2,1.142142,English
1,NA,0.808962,English
NA,1,0.38886,English
1,NA,0.484508,English
NA,2,1.142142,English
NA,2,0.63786,English
1,NA,1.956889,English
NA,2,0.968729,English
NA,1,0.63786,English
NA,2,1.142142,English
1,NA,0.572854,English
1,NA,0.540558,English
NA,2,0.526114,English
1,NA,0.487458,English
NA,2,0.484508,English
NA,2,0.63786,English
2,NA,2.065683,English
1,NA,1.712497,English
NA,2,0.593401,English
1,NA,0.672302,English
1,NA,0.885432,English
NA,2,0.857669,English
NA,2,1.409547,English
NA,2,0.885432,English
2,NA,1.408229,English
1,NA,0.467797,English
1,NA,1.142142,English
NA,2,0.63786,English
NA,3,0.726937,English
1,NA,0.484508,English
1,NA,1.463489,English
NA,2,0.726937,English
2,NA,0.526114,English
1,NA,0.540558,English
1,NA,0.63786,English
NA,2,1.300098,English
2,NA,1.657257,English
NA,2,0.968729,English
NA,2,0.611835,English
1,NA,1.148625,English
NA,2,0.467797,English
1,NA,0.487458,English
3,NA,0.63786,English
1,NA,0.857669,English
2,NA,1.565939,English
NA,2,0.606347,English
NA,2,0.38886,English
1,NA,1.064224,English
NA,2,0.726937,English
1,NA,0.590807,English
1,NA,0.635616,English
2,NA,0.900941,English
NA,2,0.323775,English
NA,2,0.63786,English
1,NA,0.63786,English
NA,2,0.38886,English
1,NA,1.657257,English
1,NA,0.481,English
2,NA,1.300098,English
NA,2,0.672302,English
NA,2,1.148625,English
1,NA,0.484508,English
1,NA,0.467797,English
1,NA,0.612277,English
NA,3,0.546617,English
2,NA,2.065683,English
NA,2,0.808962,English
2,NA,0.841543,English
1,NA,0.646643,English
1,NA,0.572854,English
NA,1,0.540558,English
2,NA,0.900941,English
NA,2,0.323775,English
NA,3,0.660751,English
1,NA,0.38886,English
NA,2,0.743294,English
1,NA,0.546617,English
1,NA,0.540558,English
2,NA,0.940128,English
2,NA,0.526114,English
NA,2,0.63786,English
NA,2,0.487458,English
NA,2,0.939256,English
NA,2,0.590807,English
1,NA,0.572854,English
NA,2,0.481,English
2,NA,1.101848,English
NA,2,0.672302,English
NA,2,0.467797,English
NA,2,0.467797,English
1,NA,1.107378,English
NA,2,0.546617,English
NA,2,0.323775,English
NA,2,1.19344,English
1,NA,0.857669,English
1,NA,0.660751,English
NA,2,0.884218,English
NA,2,0.804612,English
2,NA,0.479538,English
NA,1,1.409547,English
NA,1,0.606347,English
1,NA,0.481,English
1,NA,0.467797,English
NA,2,1.050595,English
NA,2,0.900941,English
NA,2,0.467797,English
NA,2,0.606347,English
2,NA,0.479538,English
2,NA,0.526114,English
NA,2,0.481,English
1,NA,0.484508,English
NA,2,0.648168,English
1,NA,0.487458,English
2,NA,0.467797,English
1,NA,1.627167,English
NA,1,1.148625,English
NA,2,0.885432,English
1,NA,0.606347,English
NA,2,0.606347,English
NA,2,0.590807,English
NA,2,0.63786,English
NA,2,0.968729,English
1,NA,1.148625,English
1,NA,0.885432,English
1,NA,0.572854,English
NA,2,0.484508,English
3,NA,0.323775,English
NA,2,0.484508,English
NA,2,0.479538,English
1,NA,0.479538,English
NA,2,0.726937,English
1,NA,0.479538,English
NA,2,0.648168,English
NA,2,0.526114,English
NA,2,0.726937,English
1,NA,0.526114,English
2,NA,0.590807,English
NA,2,1.91449,English
1,NA,0.660751,English
NA,2,0.481,English
1,NA,0.481,English
1,NA,0.467797,English
1,NA,0.593401,English
1,NA,0.900941,English
NA,2,0.648168,English
1,NA,0.572854,English
NA,2,1.064224,English
1,NA,0.526114,English
2,NA,0.467797,English
NA,2,0.572854,English
NA,2,0.572854,English
1,NA,1.148625,English
NA,2,0.635616,English
1,NA,0.884218,English
1,NA,0.484508,English
1,NA,0.481,English
NA,1,0.884218,English
NA,2,1.148625,English
NA,2,0.900941,English
1,NA,1.142142,English
NA,2,0.467797,English
1,NA,0.606347,English
NA,2,0.540558,English
1,NA,0.884218,English
NA,2,0.540558,English
1,NA,0.540558,English
NA,2,0.323775,English
NA,2,0.804612,English
NA,2,0.479538,English
2,NA,0.672302,English
1,NA,0.884218,English
1,NA,0.479538,English
NA,1,2.47655,English
NA,2,0.484508,English
NA,2,0.546617,English
NA,1,0.672302,English
1,NA,0.940128,English
1,NA,0.467797,English
NA,2,1.19344,English
NA,2,0.63786,English
NA,2,1.19344,English
NA,2,0.940128,English
2,NA,1.565939,English
1,NA,0.63786,English
1,NA,0.611835,English
2,NA,0.743294,English
1,NA,0.526114,English
NA,2,0.481,English
1,NA,0.540558,English
1,NA,0.672302,English
1,NA,0.808962,English
NA,1,0.593401,English
NA,2,0.467797,English
1,NA,0.660751,English
1,NA,0.540558,English
NA,2,0.808962,English
NA,2,0.467797,English
3,NA,0.467797,English
NA,2,0.884218,English
1,NA,1.148625,English
NA,2,0.479538,English
NA,2,0.648168,English
NA,2,0.479538,English
1,NA,1.064224,English
NA,2,0.968729,English
1,NA,0.884218,English
NA,2,0.660751,English
NA,1,0.940128,English
1,NA,0.606347,English
3,NA,1.408229,English
1,NA,0.856761,English
NA,2,0.726937,English
NA,2,0.885432,English
1,NA,0.939256,English
NA,2,1.19344,English
1,NA,0.763914,English
NA,2,0.672302,English
1,NA,0.611835,English
NA,1,0.323775,English
NA,2,0.540558,English
NA,2,0.968729,English
NA,2,0.540558,English
1,NA,0.648168,English
NA,2,0.611835,English
NA,1,0.612277,English
2,NA,0.323775,English
NA,2,0.540558,English
NA,2,0.884218,English
1,NA,0.939256,English
NA,2,0.612277,English
NA,1,1.91449,English
NA,2,0.611835,English
NA,2,0.968729,English
1,NA,0.38886,English
NA,2,1.91449,English
1,NA,0.804612,English
NA,1,0.968729,English
